Product Name,Brand,Product Code,Availability,Price,Tax,Rating,Image Url,Product Url
Arki_  Mineral Water ( 600 ml),Arki_  Mineral Water,103241,2-3 Days,ETB136.00,ETB136.00,0,https://helloomarket.com/image/cache/catalog/103241-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=1833
Arki_ Natural Flavor homemade Chili pepper (0.5kg),arki agro,126310005,12,ETB278.00,ETB242.00,0,https://helloomarket.com/image/cache/catalog/126310006-0-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=4282
Bereka_ Iodized Salt (1g),Mohamed & friend’ salt pps,170510002,95,ETB30.00,ETB30.00,0,https://helloomarket.com/image/cache/catalog/170510002-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=5509
Bereka_ Iodized Salt (500gm),Mohamed & friend’ salt pps,170510001,96,ETB15.00,ETB15.00,0,https://helloomarket.com/image/cache/catalog/170510001-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=5510
Beza _Ethiopian Coffee (250),,168510002,24,ETB99.00,ETB86.00,0,https://helloomarket.com/image/cache/catalog/168510002%201-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=5434
Black Cumin,Elsabeth Mesfin,100693,1,ETB21.00,ETB18.00,0,https://helloomarket.com/image/cache/catalog/100693_01-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=969
Cinnamon,,100795,9,ETB43.00,ETB38.00,0,https://helloomarket.com/image/cache/catalog/100795-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=954
Coca Cola,,175010001,99,ETB37.00,ETB37.00,0,https://helloomarket.com/image/cache/catalog/59-285x300.png,https://helloomarket.com/index.php?route=product/product&path=82&product_id=5802
Cummin,,100794,1,ETB27.00,ETB24.00,0,https://helloomarket.com/image/cache/catalog/SP-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=952
Dates (920g),WORKALEM TSEAYE,149510003,38,ETB340.00,ETB296.00,0,https://helloomarket.com/image/cache/catalog/149510003-01-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=4940
East Pure Baking Soda,East herbs,159110008,5,ETB123.00,ETB107.00,0,https://helloomarket.com/image/cache/catalog/457-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=5296
Ecopia 100% Organic Brown Sugar (500 gm),ecopia,112010002,91,ETB70.00,ETB61.00,0,https://helloomarket.com/image/cache/catalog/112010002_5-285x300.jpg,https://helloomarket.com/index.php?route=product/product&path=82&product_id=3201
